frame_0	frame_1
crops/pi_b/20200811/103926	crops/pi_b/20200811/103930
crops/pi_b/20200811/082103	crops/pi_b/20200811/082108
crops/pi_b/20200802/090515	crops/pi_b/20200802/090526
crops/pi_a/20200802/100259	crops/pi_a/20200802/100309
crops/pi_b/20200811/114654	crops/pi_b/20200811/114648
crops/pi_b/20200802/083211	crops/pi_b/20200802/083200
crops/pi_b/20200806/122232	crops/pi_b/20200806/122236
crops/pi_b/20200811/092848	crops/pi_b/20200811/092854
crops/pi_b/20200802/082728	crops/pi_b/20200802/082739
crops/pi_c/20200801/092720	crops/pi_c/20200801/092730
crops/pi_b/20200807/090520	crops/pi_b/20200807/090526
crops/pi_b/20200806/095300	crops/pi_b/20200806/095305
crops/pi_b/20200802/094240	crops/pi_b/20200802/094251
crops/pi_b/20200802/090737	crops/pi_b/20200802/090726
crops/pi_b/20200802/095302	crops/pi_b/20200802/095251
crops/pi_b/20200807/114543	crops/pi_b/20200807/114538
crops/pi_a/20200802/100027	crops/pi_a/20200802/100016
crops/pi_b/20200806/111244	crops/pi_b/20200806/111239
crops/pi_b/20200811/094548	crops/pi_b/20200811/094544
crops/pi_a/20200802/093905	crops/pi_a/20200802/093916
crops/pi_b/20200807/112030	crops/pi_b/20200807/112034
crops/pi_a/20200802/094253	crops/pi_a/20200802/094304
crops/pi_b/20200802/095818	crops/pi_b/20200802/095807
crops/pi_c/20200801/095930	crops/pi_c/20200801/095940
crops/pi_b/20200802/094818	crops/pi_b/20200802/094807
crops/pi_b/20200807/085748	crops/pi_b/20200807/085753
crops/pi_c/20200729/125720	crops/pi_c/20200729/125730
crops/pi_b/20200802/090610	crops/pi_b/20200802/090559
crops/pi_b/20200807/081228	crops/pi_b/20200807/081223
crops/pi_a/20200802/092803	crops/pi_a/20200802/092814
crops/pi_b/20200807/081337	crops/pi_b/20200807/081332
crops/pi_b/20200807/105519	crops/pi_b/20200807/105523
crops/pi_b/20200811/082419	crops/pi_b/20200811/082423
crops/pi_b/20200811/085530	crops/pi_b/20200811/085534
crops/pi_b/20200806/102248	crops/pi_b/20200806/102243
crops/pi_b/20200807/112005	crops/pi_b/20200807/112010
crops/pi_b/20200802/095556	crops/pi_b/20200802/095545
crops/pi_b/20200811/075025	crops/pi_b/20200811/075030
crops/pi_b/20200811/083815	crops/pi_b/20200811/083820
crops/pi_b/20200806/111339	crops/pi_b/20200806/111343
crops/pi_b/20200807/082325	crops/pi_b/20200807/082330
crops/pi_b/20200802/095440	crops/pi_b/20200802/095429
crops/pi_b/20200807/091854	crops/pi_b/20200807/091859
crops/pi_b/20200807/104948	crops/pi_b/20200807/104954
crops/pi_b/20200807/114442	crops/pi_b/20200807/114446
crops/pi_b/20200807/114908	crops/pi_b/20200807/114913
crops/pi_a/20200802/101809	crops/pi_a/20200802/101820
crops/pi_b/20200802/101555	crops/pi_b/20200802/101606
crops/pi_b/20200802/091304	crops/pi_b/20200802/091253
crops/pi_a/20200802/091005	crops/pi_a/20200802/090954
crops/pi_b/20200807/090646	crops/pi_b/20200807/090652
crops/pi_b/20200811/114704	crops/pi_b/20200811/114659
crops/pi_b/20200807/094422	crops/pi_b/20200807/094427
crops/pi_b/20200811/075509	crops/pi_b/20200811/075514
crops/pi_b/20200807/112530	crops/pi_b/20200807/112525
crops/pi_b/20200811/075221	crops/pi_b/20200811/075216
crops/pi_c/20200801/101330	crops/pi_c/20200801/101320
crops/pi_c/20200801/093200	crops/pi_c/20200801/093150
crops/pi_c/20180927/083257	crops/pi_c/20180927/083308
crops/pi_b/20200807/112024	crops/pi_b/20200807/112020
crops/pi_a/20200802/095407	crops/pi_a/20200802/095356
crops/pi_b/20200802/102005	crops/pi_b/20200802/102015
crops/pi_b/20200807/075544	crops/pi_b/20200807/075540
crops/pi_c/20200801/094010	crops/pi_c/20200801/094000
crops/pi_b/20200811/080916	crops/pi_b/20200811/080911
crops/pi_b/20200807/112038	crops/pi_b/20200807/112044
crops/pi_b/20200807/112248	crops/pi_b/20200807/112254
crops/pi_b/20200807/075913	crops/pi_b/20200807/075908
crops/pi_b/20200807/112514	crops/pi_b/20200807/112509
crops/pi_a/20200802/095650	crops/pi_a/20200802/095639
crops/pi_a/20200802/091837	crops/pi_a/20200802/091848
crops/pi_b/20200802/094440	crops/pi_b/20200802/094451
crops/pi_b/20200811/122529	crops/pi_b/20200811/122534
crops/pi_b/20200807/114641	crops/pi_b/20200807/114646
crops/pi_a/20200802/092519	crops/pi_a/20200802/092508
crops/pi_a/20200802/103856	crops/pi_a/20200802/103845
crops/pi_c/20180927/154843	crops/pi_c/20180927/154832
crops/pi_b/20200807/080348	crops/pi_b/20200807/080343
crops/pi_b/20200807/075630	crops/pi_b/20200807/075633
crops/pi_a/20200802/093140	crops/pi_a/20200802/093151
crops/pi_b/20200802/090359	crops/pi_b/20200802/090410
crops/pi_b/20200807/081551	crops/pi_b/20200807/081555
crops/pi_a/20200802/102733	crops/pi_a/20200802/102744
crops/pi_a/20200802/093057	crops/pi_a/20200802/093046
crops/pi_a/20200802/094253	crops/pi_a/20200802/094242
crops/pi_a/20200802/102429	crops/pi_a/20200802/102418
crops/pi_b/20200807/080114	crops/pi_b/20200807/080119
crops/pi_a/20200802/093749	crops/pi_a/20200802/093800
crops/pi_b/20200807/114337	crops/pi_b/20200807/114343
crops/pi_a/20200802/092541	crops/pi_a/20200802/092530
crops/pi_b/20200802/093724	crops/pi_b/20200802/093713
crops/pi_a/20200802/093401	crops/pi_a/20200802/093412
crops/pi_b/20200807/112850	crops/pi_b/20200807/112855
crops/pi_c/20200801/093350	crops/pi_c/20200801/093340
crops/pi_a/20200802/110004	crops/pi_a/20200802/105953
crops/pi_b/20200811/083024	crops/pi_b/20200811/083028
crops/pi_b/20200811/114737	crops/pi_b/20200811/114733
crops/pi_b/20200807/112735	crops/pi_b/20200807/112740
crops/pi_a/20200802/093318	crops/pi_a/20200802/093329
crops/pi_c/20200801/093600	crops/pi_c/20200801/093550
crops/pi_a/20200802/095008	crops/pi_a/20200802/095019
crops/pi_b/20200806/115615	crops/pi_b/20200806/115609
crops/pi_b/20200807/085324	crops/pi_b/20200807/085329
crops/pi_b/20200806/085700	crops/pi_b/20200806/085706
crops/pi_b/20200802/095956	crops/pi_b/20200802/100007
crops/pi_b/20200806/101723	crops/pi_b/20200806/101719
crops/pi_c/20200801/100800	crops/pi_c/20200801/100750
crops/pi_a/20200802/100143	crops/pi_a/20200802/100153
crops/pi_b/20200811/122107	crops/pi_b/20200811/122111
crops/pi_b/20200807/081304	crops/pi_b/20200807/081259
crops/pi_b/20200807/105510	crops/pi_b/20200807/105514
crops/pi_b/20200811/082410	crops/pi_b/20200811/082414
crops/pi_b/20200807/075853	crops/pi_b/20200807/075857
crops/pi_b/20200807/082342	crops/pi_b/20200807/082347
crops/pi_b/20200806/102207	crops/pi_b/20200806/102212
crops/pi_a/20200802/094641	crops/pi_a/20200802/094630
crops/pi_b/20200811/075621	crops/pi_b/20200811/075626
crops/pi_b/20200811/081635	crops/pi_b/20200811/081639
crops/pi_b/20200806/102313	crops/pi_b/20200806/102319
crops/pi_b/20200802/093103	crops/pi_b/20200802/093114
crops/pi_a/20200802/095451	crops/pi_a/20200802/095502
crops/pi_b/20200807/112535	crops/pi_b/20200807/112540
crops/pi_b/20200811/075019	crops/pi_b/20200811/075014
crops/pi_c/20180927/154308	crops/pi_c/20180927/154319
crops/pi_b/20200811/075004	crops/pi_b/20200811/075009
crops/pi_b/20200807/082443	crops/pi_b/20200807/082448
crops/pi_b/20200807/075800	crops/pi_b/20200807/075755
crops/pi_b/20200807/113207	crops/pi_b/20200807/113213
crops/pi_a/20200802/100509	crops/pi_a/20200802/100520
crops/pi_b/20200811/074750	crops/pi_b/20200811/074755
crops/pi_a/20200802/094315	crops/pi_a/20200802/094304
crops/pi_b/20200807/111608	crops/pi_b/20200807/111612
crops/pi_b/20200811/081857	crops/pi_b/20200811/081852
crops/pi_b/20200811/082303	crops/pi_b/20200811/082308
crops/pi_b/20200811/122942	crops/pi_b/20200811/122946
crops/pi_b/20200807/113130	crops/pi_b/20200807/113135
crops/pi_b/20200802/094840	crops/pi_b/20200802/094851
crops/pi_b/20200807/111604	crops/pi_b/20200807/111608
crops/pi_b/20200802/082317	crops/pi_b/20200802/082306
crops/pi_b/20200807/085831	crops/pi_b/20200807/085837
crops/pi_b/20200807/101344	crops/pi_b/20200807/101350
crops/pi_b/20200806/115513	crops/pi_b/20200806/115517
crops/pi_b/20200801/093616	crops/pi_b/20200801/093627
crops/pi_b/20200807/082758	crops/pi_b/20200807/082803
crops/pi_b/20200811/104439	crops/pi_b/20200811/104444
crops/pi_b/20200811/122928	crops/pi_b/20200811/122923
crops/pi_b/20200807/112807	crops/pi_b/20200807/112812
crops/pi_b/20200811/080241	crops/pi_b/20200811/080245
crops/pi_b/20200807/111845	crops/pi_b/20200807/111841
crops/pi_b/20200811/075728	crops/pi_b/20200811/075732
crops/pi_b/20200801/093920	crops/pi_b/20200801/093931
crops/pi_b/20200811/104555	crops/pi_b/20200811/104550
crops/pi_c/20180927/083120	crops/pi_c/20180927/083109
crops/pi_b/20200811/102955	crops/pi_b/20200811/102959
crops/pi_b/20200811/083327	crops/pi_b/20200811/083321
crops/pi_b/20200811/112351	crops/pi_b/20200811/112357
crops/pi_b/20200802/092125	crops/pi_b/20200802/092136
crops/pi_b/20200802/101638	crops/pi_b/20200802/101627
crops/pi_b/20200802/084843	crops/pi_b/20200802/084854
crops/pi_b/20200807/082644	crops/pi_b/20200807/082649
crops/pi_b/20200807/082600	crops/pi_b/20200807/082555
crops/pi_b/20200807/094104	crops/pi_b/20200807/094109
crops/pi_c/20180927/082628	crops/pi_c/20180927/082617
crops/pi_b/20200802/100639	crops/pi_b/20200802/100628
crops/pi_c/20200801/100310	crops/pi_c/20200801/100320
crops/pi_a/20200802/103729	crops/pi_a/20200802/103740
crops/pi_b/20200811/094548	crops/pi_b/20200811/094553
crops/pi_b/20200807/090925	crops/pi_b/20200807/090930
crops/pi_b/20200806/082640	crops/pi_b/20200806/082645
crops/pi_b/20200807/085002	crops/pi_b/20200807/085007
crops/pi_b/20200811/081600	crops/pi_b/20200811/081606
crops/pi_b/20200811/092923	crops/pi_b/20200811/092919
crops/pi_b/20200811/081649	crops/pi_b/20200811/081653
crops/pi_b/20200811/085913	crops/pi_b/20200811/085917
crops/pi_b/20200807/085802	crops/pi_b/20200807/085806
crops/pi_b/20200806/102437	crops/pi_b/20200806/102442
crops/pi_b/20200802/100206	crops/pi_b/20200802/100217
crops/pi_b/20200807/112354	crops/pi_b/20200807/112359
crops/pi_c/20180927/150024	crops/pi_c/20180927/150035
crops/pi_b/20200811/080300	crops/pi_b/20200811/080305
crops/pi_b/20200811/081725	crops/pi_b/20200811/081729
crops/pi_b/20200802/082644	crops/pi_b/20200802/082655
crops/pi_b/20200807/111642	crops/pi_b/20200807/111646
crops/pi_b/20200807/081327	crops/pi_b/20200807/081332
crops/pi_c/20180927/151909	crops/pi_c/20180927/151920
crops/pi_b/20200811/122304	crops/pi_b/20200811/122308
crops/pi_b/20200807/085753	crops/pi_b/20200807/085758
crops/pi_b/20200807/111211	crops/pi_b/20200807/111217
crops/pi_b/20200807/114530	crops/pi_b/20200807/114525
crops/pi_b/20200806/101714	crops/pi_b/20200806/101719
crops/pi_b/20200811/121346	crops/pi_b/20200811/121351
crops/pi_b/20200811/121955	crops/pi_b/20200811/121959
crops/pi_a/20200802/100121	crops/pi_a/20200802/100132
crops/pi_b/20200807/081546	crops/pi_b/20200807/081551
crops/pi_a/20200802/102356	crops/pi_a/20200802/102407
crops/pi_b/20200802/094746	crops/pi_b/20200802/094756
crops/pi_a/20200802/104149	crops/pi_a/20200802/104138
crops/pi_b/20200807/114411	crops/pi_b/20200807/114415
crops/pi_b/20200806/095601	crops/pi_b/20200806/095557
crops/pi_b/20200802/094102	crops/pi_b/20200802/094113
crops/pi_b/20200811/082433	crops/pi_b/20200811/082429
crops/pi_b/20200811/083644	crops/pi_b/20200811/083641
crops/pi_b/20200807/081820	crops/pi_b/20200807/081815
crops/pi_b/20200807/113237	crops/pi_b/20200807/113233
crops/pi_b/20200811/081923	crops/pi_b/20200811/081918
crops/pi_b/20200807/112514	crops/pi_b/20200807/112519
crops/pi_b/20200802/100206	crops/pi_b/20200802/100156
crops/pi_b/20200807/100055	crops/pi_b/20200807/100059
crops/pi_b/20200802/094102	crops/pi_b/20200802/094051
crops/pi_b/20200811/075314	crops/pi_b/20200811/075319
crops/pi_a/20200802/095440	crops/pi_a/20200802/095451
crops/pi_b/20200811/082144	crops/pi_b/20200811/082148
crops/pi_a/20200802/091237	crops/pi_a/20200802/091227
crops/pi_b/20200806/082013	crops/pi_b/20200806/082017
crops/pi_a/20200802/091237	crops/pi_a/20200802/091248
crops/pi_b/20200807/111925	crops/pi_b/20200807/111920
crops/pi_b/20200801/100130	crops/pi_b/20200801/100141
crops/pi_b/20200807/111705	crops/pi_b/20200807/111709
crops/pi_b/20200802/082506	crops/pi_b/20200802/082517
crops/pi_b/20200802/094019	crops/pi_b/20200802/094008
crops/pi_b/20200807/112653	crops/pi_b/20200807/112658
crops/pi_a/20200802/101936	crops/pi_a/20200802/101947
crops/pi_b/20200807/075535	crops/pi_b/20200807/075540
crops/pi_b/20200811/122734	crops/pi_b/20200811/122738
crops/pi_a/20200802/102932	crops/pi_a/20200802/102943
crops/pi_c/20200801/092800	crops/pi_c/20200801/092810
crops/pi_b/20200807/111910	crops/pi_b/20200807/111905
crops/pi_b/20200802/083400	crops/pi_b/20200802/083411
crops/pi_a/20200802/094714	crops/pi_a/20200802/094725
crops/pi_b/20200807/112034	crops/pi_b/20200807/112038
crops/pi_b/20200807/075943	crops/pi_b/20200807/075948
crops/pi_b/20200807/081639	crops/pi_b/20200807/081645
crops/pi_c/20200801/094430	crops/pi_c/20200801/094440
crops/pi_b/20200811/075053	crops/pi_b/20200811/075057
crops/pi_b/20200811/075255	crops/pi_b/20200811/075259
crops/pi_a/20200802/093916	crops/pi_a/20200802/093927
crops/pi_b/20200811/104818	crops/pi_b/20200811/104822
crops/pi_b/20200807/094435	crops/pi_b/20200807/094441
crops/pi_b/20200802/100239	crops/pi_b/20200802/100250
crops/pi_c/20180927/154854	crops/pi_c/20180927/154905
crops/pi_b/20200802/093303	crops/pi_b/20200802/093252
crops/pi_b/20200807/075653	crops/pi_b/20200807/075657
crops/pi_b/20200806/104927	crops/pi_b/20200806/104933
crops/pi_b/20200802/084821	crops/pi_b/20200802/084810
crops/pi_b/20200807/085105	crops/pi_b/20200807/085101
crops/pi_b/20200811/082313	crops/pi_b/20200811/082308
crops/pi_a/20200802/091121	crops/pi_a/20200802/091110
crops/pi_a/20200802/101936	crops/pi_a/20200802/101925
crops/pi_c/20180927/151124	crops/pi_c/20180927/151113
crops/pi_b/20200807/111700	crops/pi_b/20200807/111705
crops/pi_b/20200806/122040	crops/pi_b/20200806/122044
crops/pi_b/20200802/102131	crops/pi_b/20200802/102121
crops/pi_c/20200801/093750	crops/pi_c/20200801/093740
crops/pi_a/20200802/092142	crops/pi_a/20200802/092153
crops/pi_c/20180927/151323	crops/pi_c/20180927/151334
crops/pi_a/20200802/094126	crops/pi_a/20200802/094115
crops/pi_b/20200807/075502	crops/pi_b/20200807/075506
crops/pi_b/20200807/080330	crops/pi_b/20200807/080334
crops/pi_b/20200802/100512	crops/pi_b/20200802/100523
crops/pi_b/20200807/092337	crops/pi_b/20200807/092342
crops/pi_a/20200802/092730	crops/pi_a/20200802/092719
crops/pi_a/20200802/091259	crops/pi_a/20200802/091248
crops/pi_a/20200802/103918	crops/pi_a/20200802/103907
crops/pi_b/20200811/081219	crops/pi_b/20200811/081213
crops/pi_b/20200811/114844	crops/pi_b/20200811/114850
crops/pi_b/20200807/082134	crops/pi_b/20200807/082140
crops/pi_b/20200806/082026	crops/pi_b/20200806/082031
crops/pi_c/20200801/093430	crops/pi_c/20200801/093420
crops/pi_c/20180927/171024	crops/pi_c/20180927/171035
crops/pi_a/20200802/093854	crops/pi_a/20200802/093905
crops/pi_b/20200806/102303	crops/pi_b/20200806/102258
crops/pi_a/20200802/104725	crops/pi_a/20200802/104736
crops/pi_b/20200806/122304	crops/pi_b/20200806/122309
crops/pi_b/20200802/085948	crops/pi_b/20200802/085959
crops/pi_b/20200806/091024	crops/pi_b/20200806/091029
crops/pi_b/20200807/114318	crops/pi_b/20200807/114323
crops/pi_b/20200802/095650	crops/pi_b/20200802/095701
crops/pi_b/20200802/101827	crops/pi_b/20200802/101816
crops/pi_b/20200807/114252	crops/pi_b/20200807/114258
crops/pi_a/20200802/092803	crops/pi_a/20200802/092752
crops/pi_a/20200802/093351	crops/pi_a/20200802/093340
crops/pi_a/20200802/094420	crops/pi_a/20200802/094409
crops/pi_b/20200807/111845	crops/pi_b/20200807/111851
crops/pi_b/20200802/100145	crops/pi_b/20200802/100156
crops/pi_c/20180927/082743	crops/pi_c/20180927/082754
crops/pi_b/20200802/095207	crops/pi_b/20200802/095156
crops/pi_b/20200807/113029	crops/pi_b/20200807/113024
crops/pi_a/20200802/103457	crops/pi_a/20200802/103508
crops/pi_b/20200807/111407	crops/pi_b/20200807/111411
crops/pi_b/20200802/083444	crops/pi_b/20200802/083433
crops/pi_a/20200802/101736	crops/pi_a/20200802/101725
crops/pi_c/20180927/093625	crops/pi_c/20180927/093635
crops/pi_b/20200811/123230	crops/pi_b/20200811/123225
crops/pi_c/20180927/082418	crops/pi_c/20180927/082429
crops/pi_b/20200801/092946	crops/pi_b/20200801/092957
crops/pi_b/20200811/083225	crops/pi_b/20200811/083228
crops/pi_a/20200802/095019	crops/pi_a/20200802/095030
crops/pi_b/20200807/114303	crops/pi_b/20200807/114308
crops/pi_b/20200807/112607	crops/pi_b/20200807/112603
crops/pi_b/20200807/080200	crops/pi_b/20200807/080155
crops/pi_a/20200802/094010	crops/pi_a/20200802/094021
crops/pi_b/20200807/082347	crops/pi_b/20200807/082352
crops/pi_c/20200801/101540	crops/pi_c/20200801/101530
crops/pi_b/20200807/114411	crops/pi_b/20200807/114406
crops/pi_b/20200811/080907	crops/pi_b/20200811/080911
crops/pi_b/20200801/104612	crops/pi_b/20200801/104622
crops/pi_b/20200811/083216	crops/pi_b/20200811/083220
crops/pi_b/20200801/093135	crops/pi_b/20200801/093145
crops/pi_b/20200811/075039	crops/pi_b/20200811/075035
crops/pi_a/20200802/094852	crops/pi_a/20200802/094903
crops/pi_b/20200811/123102	crops/pi_b/20200811/123108
crops/pi_a/20200802/094358	crops/pi_a/20200802/094409
crops/pi_b/20200807/112058	crops/pi_b/20200807/112104
crops/pi_b/20200811/075631	crops/pi_b/20200811/075626
crops/pi_b/20200807/093756	crops/pi_b/20200807/093800
crops/pi_b/20200811/074921	crops/pi_b/20200811/074926
crops/pi_b/20200811/104608	crops/pi_b/20200811/104612
crops/pi_c/20180927/155220	crops/pi_c/20180927/155209
crops/pi_b/20200807/112558	crops/pi_b/20200807/112603
crops/pi_b/20200806/114344	crops/pi_b/20200806/114350
crops/pi_c/20200801/093910	crops/pi_c/20200801/093900
crops/pi_b/20200802/095124	crops/pi_b/20200802/095134
crops/pi_a/20200802/100059	crops/pi_a/20200802/100110
crops/pi_b/20200811/075230	crops/pi_b/20200811/075235
crops/pi_b/20200807/075525	crops/pi_b/20200807/075521
crops/pi_a/20200802/103530	crops/pi_a/20200802/103519
crops/pi_a/20200802/094558	crops/pi_a/20200802/094547
crops/pi_b/20200811/074457	crops/pi_b/20200811/074503
crops/pi_b/20200811/092217	crops/pi_b/20200811/092222
crops/pi_a/20200802/092142	crops/pi_a/20200802/092131
crops/pi_b/20200811/081616	crops/pi_b/20200811/081621
crops/pi_b/20200811/122153	crops/pi_b/20200811/122159
crops/pi_b/20200806/102303	crops/pi_b/20200806/102308
crops/pi_b/20200802/094756	crops/pi_b/20200802/094807
crops/pi_b/20200811/083559	crops/pi_b/20200811/083604
crops/pi_a/20200802/103037	crops/pi_a/20200802/103048
crops/pi_c/20200801/100210	crops/pi_c/20200801/100220
crops/pi_a/20200802/103258	crops/pi_a/20200802/103247
crops/pi_b/20200807/112239	crops/pi_b/20200807/112244
crops/pi_b/20200811/112327	crops/pi_b/20200811/112324
crops/pi_b/20200811/124026	crops/pi_b/20200811/124031
crops/pi_b/20200811/122304	crops/pi_b/20200811/122259
crops/pi_b/20200807/113203	crops/pi_b/20200807/113207
crops/pi_b/20200802/100134	crops/pi_b/20200802/100123
crops/pi_b/20200811/083520	crops/pi_b/20200811/083515
crops/pi_b/20200811/090607	crops/pi_b/20200811/090612
crops/pi_c/20200801/092430	crops/pi_c/20200801/092420
crops/pi_b/20200807/112148	crops/pi_b/20200807/112144
crops/pi_a/20200802/103131	crops/pi_a/20200802/103142
crops/pi_a/20200802/104819	crops/pi_a/20200802/104809
crops/pi_b/20200806/122159	crops/pi_b/20200806/122203
crops/pi_b/20200807/113001	crops/pi_b/20200807/113006
crops/pi_b/20200802/083906	crops/pi_b/20200802/083916
crops/pi_c/20180927/154843	crops/pi_c/20180927/154854
crops/pi_a/20200802/103352	crops/pi_a/20200802/103403
crops/pi_b/20200811/082259	crops/pi_b/20200811/082303
crops/pi_c/20180927/083058	crops/pi_c/20180927/083109
crops/pi_b/20200811/121838	crops/pi_b/20200811/121833
crops/pi_b/20200807/112759	crops/pi_b/20200807/112803
crops/pi_b/20200802/094818	crops/pi_b/20200802/094829
crops/pi_b/20200806/102129	crops/pi_b/20200806/102135
crops/pi_a/20200802/094221	crops/pi_a/20200802/094210
crops/pi_b/20200801/104601	crops/pi_b/20200801/104550
crops/pi_b/20200802/094702	crops/pi_b/20200802/094713
crops/pi_b/20200807/112344	crops/pi_b/20200807/112339
crops/pi_b/20200802/090221	crops/pi_b/20200802/090232
crops/pi_b/20200811/122308	crops/pi_b/20200811/122313
crops/pi_c/20200729/105310	crops/pi_c/20200729/105320
crops/pi_b/20200802/083622	crops/pi_b/20200802/083611
crops/pi_b/20200807/112320	crops/pi_b/20200807/112325
crops/pi_b/20200811/083830	crops/pi_b/20200811/083825
crops/pi_b/20200811/074626	crops/pi_b/20200811/074647
crops/pi_b/20200811/080309	crops/pi_b/20200811/080314
crops/pi_b/20200807/111636	crops/pi_b/20200807/111630
crops/pi_b/20200801/093533	crops/pi_b/20200801/093543
crops/pi_b/20200802/094313	crops/pi_b/20200802/094324
crops/pi_b/20200807/114438	crops/pi_b/20200807/114442
crops/pi_a/20200802/103414	crops/pi_a/20200802/103425
crops/pi_b/20200807/081742	crops/pi_b/20200807/081747
crops/pi_c/20200801/093750	crops/pi_c/20200801/093800
crops/pi_a/20200802/093224	crops/pi_a/20200802/093234
crops/pi_b/20200807/111811	crops/pi_b/20200807/111806
crops/pi_a/20200802/101747	crops/pi_a/20200802/101736
crops/pi_b/20200807/091143	crops/pi_b/20200807/091149
crops/pi_b/20200811/090557	crops/pi_b/20200811/090602
crops/pi_a/20200802/100404	crops/pi_a/20200802/100415
crops/pi_b/20200802/092936	crops/pi_b/20200802/092947
crops/pi_b/20200802/092747	crops/pi_b/20200802/092736
crops/pi_b/20200811/082831	crops/pi_b/20200811/082836
crops/pi_b/20200802/091231	crops/pi_b/20200802/091242
crops/pi_b/20200807/081531	crops/pi_b/20200807/081527
crops/pi_a/20200802/102302	crops/pi_a/20200802/102313
crops/pi_b/20200811/112347	crops/pi_b/20200811/112351
crops/pi_a/20200802/100005	crops/pi_a/20200802/095954
crops/pi_b/20200806/081908	crops/pi_b/20200806/081913
crops/pi_b/20200807/114303	crops/pi_b/20200807/114258
crops/pi_c/20200801/093020	crops/pi_c/20200801/093030
crops/pi_a/20200802/100646	crops/pi_a/20200802/100657
crops/pi_b/20200807/091149	crops/pi_b/20200807/091154
crops/pi_b/20200807/114430	crops/pi_b/20200807/114425
crops/pi_b/20200807/114651	crops/pi_b/20200807/114646
crops/pi_b/20200811/090142	crops/pi_b/20200811/090147
crops/pi_b/20200807/111730	crops/pi_b/20200807/111734
crops/pi_b/20200807/112545	crops/pi_b/20200807/112549
crops/pi_b/20200802/083022	crops/pi_b/20200802/083033
crops/pi_b/20200807/112830	crops/pi_b/20200807/112834
crops/pi_a/20200802/102103	crops/pi_a/20200802/102052
crops/pi_c/20200801/093120	crops/pi_c/20200801/093130
crops/pi_b/20200811/082918	crops/pi_b/20200811/082914
crops/pi_a/20200802/095545	crops/pi_a/20200802/095556
crops/pi_b/20200802/100355	crops/pi_b/20200802/100345
crops/pi_b/20200811/083747	crops/pi_b/20200811/083742
crops/pi_b/20200802/090148	crops/pi_b/20200802/090137
crops/pi_c/20200729/125740	crops/pi_c/20200729/125730
crops/pi_a/20200802/100907	crops/pi_a/20200802/100918
crops/pi_a/20200802/104841	crops/pi_a/20200802/104830
crops/pi_a/20200802/094326	crops/pi_a/20200802/094315
crops/pi_a/20200802/093329	crops/pi_a/20200802/093340
crops/pi_b/20200811/121039	crops/pi_b/20200811/121034
crops/pi_b/20200811/082444	crops/pi_b/20200811/082449
crops/pi_b/20200811/074508	crops/pi_b/20200811/074516
crops/pi_b/20200807/091903	crops/pi_b/20200807/091859
crops/pi_c/20200801/092620	crops/pi_c/20200801/092610
crops/pi_b/20200807/114918	crops/pi_b/20200807/114913
crops/pi_b/20200807/081203	crops/pi_b/20200807/081208
crops/pi_b/20200811/081219	crops/pi_b/20200811/081224
crops/pi_b/20200802/095901	crops/pi_b/20200802/095850
crops/pi_b/20200806/114423	crops/pi_b/20200806/114428
crops/pi_b/20200811/122347	crops/pi_b/20200811/122342
crops/pi_a/20200802/104117	crops/pi_a/20200802/104128
